Local Government,State,Bordering Country,Longitude,Latitude,Border Name
Jibia,Katsina,Niger,7.789586,13.329492,Jibia Border
Illela,Sokoto,Niger,5.284066,13.752091,Illela Border
Etung,Cross River,Cameroun,8.830637,5.803333,Mfum Border
Arewa-Dandi,Kebbi,Niger,3.73474,12.595118,Kangiwa Border
Ipokia,Ogun,Benin Republic,2.73308,6.639422,Idi Iroko Border
Yewa North,Ogun,Benin Republic,2.71308,6.949422,Owode Border
